District,Latitude,Longitude
Aplokciems,57.0245587,24.1437432
Berģi,56.9855144,24.301156
Bieriņi,56.9165939,24.0634873
Bolderāja,57.02044305,24.061112164548728
Bukulti,56.9985122,24.2666244
Daugavgrīva,57.040806,24.0233457
Dreiliņi,56.9511117,24.2298369
Dzegužkalns,56.9622609,24.0695595
Dārzciems,56.94019,24.1787862
Dārziņi,56.8639308,24.2725653
Grīziņkalns,56.9583576,24.1548826
Imanta,56.957484,24.0170733
Iļģuciems,56.9677239,24.060646
Jaunciems,57.0452782,24.1776899
Jugla,56.9971032,24.2291427
Katlakalns,56.912681,24.152765095221177
Kleisti,56.9855209,24.0267669
Mangaļsala,57.0510741,24.0629508
Mežaparks,57.001796,24.1574993
Mežciems,56.9681452,24.2360846
Purvciems,56.9570095,24.1789869
Pļavnieki,56.9397318,24.2116154
Sarkandaugava,57.0056079,24.1128445
Teika,56.9744177,24.183611
Torņakalns,56.9301787,24.093767
Vecdaugava,57.0506732,24.0990319
Vecmīlgrāvis,57.0299437,24.1089277
Vecrīga,56.9479326,24.1079726
Voleri,56.9987671,24.0841127
Zasulauks,56.9474217,24.0504022
Ziepniekkalns,56.9030683,24.1034916
Zolitūde,56.9415992,24.0118932
centrs,56.9581275,24.123267
Āgenskalns,56.9370249,24.0697444
Čiekurkalns,56.9864697,24.1692192
Ķengarags,56.908907,24.1873513
Ķīpsala,56.9558101,24.0824978
Šampēteris-Pleskodāle,56.9376406,24.0449256547789
Šķirotava,56.9215087,24.2018444
