,district,address,room_count,area,floors,house_type,price,latitude,longitude,quadrant,price_psqm
2,Čiekurkalns,Rusova 30,1,36.0,3/5,M. ģim.,280.0,56.98664845,24.17400697498923,1369.0,7.777777777777778
5,Teika,Brīvības 231,1,34.0,4/5,103.,290.0,56.97667875,24.176255008198623,1243.0,8.529411764705882
17,centrs,Veru 3,2,38.0,1/5,Renov.,450.0,56.961845,24.10100003927196,1039.0,11.842105263157896
23,Pļavnieki,Kaudzīšu 6,1,33.0,2/9,602.,220.0,56.938986850000006,24.1985129889548,744.0,6.666666666666667
25,Vecmīlgrāvis,Vecmīlgrāvja 1. l. 49,2,50.0,4/5,LT proj.,250.0,57.0288589,24.1070599,1859.0,5.0
26,Sarkandaugava,Tvaika 54 k-1,1,30.0,5/5,Hrušč.,350.0,57.0082917,24.123346,1611.0,11.666666666666666
28,Bolderāja,Gobas 18,1,38.0,1/2,Staļina,120.0,57.0303095,24.0519642,1848.0,3.1578947368421053
32,Jugla,Murjāņu 40,1,31.0,1/5,LT proj.,250.0,56.9782178,24.248685114741967,1258.0,8.064516129032258
40,centrs,Dzirnavu 96,4,110.0,4/5,P. kara,630.0,56.95008575,24.12430826659416,855.0,5.7272727272727275
41,Ķengarags,Prūšu 21,1,18.0,3/4,M. ģim.,160.0,56.9118027,24.1926528,428.0,8.88888888888889
42,Jugla,Murjāņu 48,2,45.0,5/5,LT proj.,260.0,56.9777671,24.250166840644773,1258.0,5.777777777777778
46,Bieriņi,Raudas 9,2,38.0,1/2,P. kara,120.0,56.92753635,24.057594321913022,590.0,3.1578947368421053
53,Āgenskalns,Mārupes 13,2,45.0,1/2,Renov.,450.0,56.9331893,24.071089435,655.0,10.0
56,Dārzciems,Nīcgales 47,1,34.0,3/5,103.,290.0,56.9461178,24.173099986747744,865.0,8.529411764705882
59,Vecrīga,Kalēju 14,2,87.0,4/5,P. kara,750.0,56.9483908,24.11070826217105,852.0,8.620689655172415
63,Vecmīlgrāvis,Baltāsbaznīcas 44,3,72.0,2/3,Specpr.,420.0,57.0366979,24.0897398,1982.0,5.833333333333333
71,centrs,Barona 140,2,56.0,2/2,P. kara,200.0,56.9541912,24.1272498,918.0,3.5714285714285716
72,Teika,Ieriķu 60,2,50.0,7/9,Specpr.,310.0,56.9656754,24.1716043,1116.0,6.2
74,centrs,Ģertrūdes 62,2,40.0,5/6,P. kara,450.0,56.9514154,24.1331187,920.0,11.25
83,Ķengarags,Maskavas 315,1,36.0,2/12,Čehu pr.,200.0,56.9091346,24.18367779623388,363.0,5.555555555555555
90,Imanta,Dammes 4,1,35.0,4/9,602.,250.0,56.96173755,24.01580305572784,1022.0,7.142857142857143
92,centrs,Brīvības 132,2,62.0,3/5,P. kara,620.0,56.9631314,24.1377744,1047.0,10.0
93,Bolderāja,Kodola 6,1,10.0,2/2,Specpr.,120.0,57.036624,24.04255725000001,1973.0,12.0
94,centrs,Vidus 11,3,118.0,2/6,Renov.,1200.0,56.9615303,24.10291659587181,1040.0,10.169491525423728
95,Čiekurkalns,Rusova 9,3,65.0,4/7,Jaun.,650.0,56.9885541,24.16971784298676,1368.0,10.0
96,centrs,Matīsa 49,3,70.0,1/5,P. kara,500.0,56.955076000000005,24.13802250653813,921.0,7.142857142857143
100,centrs,Valdemāra 41a,2,40.0,3/7,Jaun.,750.0,56.95912665,24.11669989974679,979.0,18.75
102,Jugla,Murjāņu 36,1,31.0,5/5,LT proj.,330.0,56.97863375,24.247480052995385,1258.0,10.64516129032258
109,Purvciems,Stirnu 55,1,30.0,4/5,LT proj.,320.0,56.96423965,24.1939779,1058.0,10.666666666666666
112,Purvciems,Brantkalna 7,1,45.0,4/12,104.,270.0,56.9500527,24.1921135,868.0,6.0
115,Jugla,Kvēles 27,2,48.0,2/5,Hrušč.,300.0,56.9820393,24.246020693013463,1320.0,6.25
