district,address,room_count,area,floors,house_type,price,latitude,longitude
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,M. ģim.,280  €/mēn.,51.77014725,-1.2649910410071945
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,M. ģim.,280  €/mēn.,51.77014725,-1.2649910410071945
Čiekurkalns,Rusova 30,1,36,3/5,M. ģim.,280  €/mēn.,56.98664845,24.17400697498923
Iļģuciems,Palangas 7,3,66,5/5,LT proj.,"60,500  €",56.97087085,24.053864891592003
Purvciems,Varavīksnes g. 14,1,31,3/9,602.,"40,000  €",56.9521953,24.2048373
Teika,Brīvības 231,1,34,4/5,103.,290  €/mēn.,56.97667875,24.176255008198623
Pļavnieki,Jasmuižas 6,2,50,4/9,602.,"51,800  €",56.936898150000005,24.20926459415137
Purvciems,Burtnieku 35,1,13,3/4,Hrušč.,"18,500  €",56.9664204,24.1816747
Zolitūde,Ruses 20,2,59,5/6,119.,"64,500  €",56.94647355,24.00580932807084
Teika,Ropažu 35,3,78,2/3,P. kara,"107,000  €",56.9789467,24.17601354540493
Ķengarags,Prūšu 21/2,1,12,4/4,M. ģim.,"17,000  €",56.908522,24.1969884
Čiekurkalns,Rusova 24,1,43,1/5,M. ģim.,"36,000  €",56.987545350000005,24.170802940161952
Dzegužkalns,Dzirciema 7,2,49,2/5,LT proj.,370  €/mēn.,,
Vecmīlgrāvis,Vijolīšu 6,1,43,3/5,M. ģim.,"45,000  €",57.0350429,24.0944356
Teika,Brīvības 239,1,27,5/5,Specpr.,"48,000  €",56.97720845,24.178724282406527
centrs,Zvaigžņu 24,2,40,1/6,P. kara,40  €/dienā,57.38170015,21.566050482202836
Ķengarags,Ikšķiles 4,3,62,5/5,LT proj.,"67,900  €",56.90080385,24.20703229999999
centrs,Veru 3,2,38,1/5,Renov.,450  €/mēn.,56.961845,24.10100003927196
Vecmīlgrāvis,Atlantijas 8,1,38,4/5,Hrušč.,"36,000  €",57.03824655,24.08781580862039
centrs,Čaka 44,1,30,1/6,P. kara,280  €/ned.,56.9535326,24.13227026078947
Purvciems,Ieriķu 58,1,36,6/9,Specpr.,"46,999  €",56.9655739,24.18301731808966
centrs,Čaka 44,1,28,1/5,P. kara,30  €/dienā,56.9535326,24.13227026078947
Teika,Ieriķu 58,1,36,5/6,Specpr.,"46,999  €",56.9656754,24.1716043
Pļavnieki,Kaudzīšu 6,1,33,2/9,602.,220  €/mēn.,56.938986850000006,24.1985129889548
Sarkandaugava,Gaujienas 3a,1,36,2/2,Specpr.,"23,500  €",57.0071171,24.12327825
Vecmīlgrāvis,Vecmīlgrāvja 1. l. 49,2,50,4/5,LT proj.,250  €/mēn.,57.0288589,24.1070599
Sarkandaugava,Tvaika 54 k-1,1,30,5/5,Hrušč.,350  €/mēn.,57.0082917,24.123346
Āgenskalns,Dreiliņu 18,1,30,4/5,Hrušč.,"44,000  €",56.9413267,24.0606631
Bolderāja,Gobas 18,1,38,1/2,Staļina,120  €/mēn.,57.0303095,24.0519642
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,M. ģim.,"28,500  €",51.77014725,-1.2649910410071945
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,M. ģim.,"28,500  €",51.77014725,-1.2649910410071945
Dārzciems,Sesku 7,1,42,5/5,M. ģim.,"28,500  €",56.94505225,24.17412735
Jugla,Murjāņu 40,1,31,1/5,LT proj.,250  €/mēn.,56.9782178,24.248685114741967
Pļavnieki,Sesku 7,1,42,5/5,M. ģim.,"28,500  €",56.9459183,24.195573
centrs,Brīvības 150 k-2,2,43,1/4,P. kara,250  €/mēn.,56.9652949,23.1556406
Purvciems,Kastrānes 14,2,54,2/5,Specpr.,"80,000  €",56.9659974,24.1766569
Pļavnieki,Rencēnu 40,1,23,1/5,Renov.,"25,000  €",,
centrs,Sadovņikova 47,2,40,1/5,P. kara,360  €/mēn.,,
Krasta r-ns,Maskavas 188,2,41,4/9,Jaun.,"119,000  €",,
Imanta,Kurzemes pr. 88,3,54,5/5,LT proj.,300  €/mēn.,,
centrs,Dzirnavu 96,4,110,4/5,P. kara,630  €/mēn.,56.95008575,24.12430826659416
Ķengarags,Prūšu 21,1,18,3/4,M. ģim.,160  €/mēn.,56.9118027,24.1926528
Jugla,Murjāņu 48,2,45,5/5,LT proj.,260  €/mēn.,56.9777671,24.250166840644773
Imanta,Anniņmuižas 38,3,82,4/18,Jaun.,"165,000  €",56.96111815,24.018227955704056
Teika,Brīvības 215,2,39,2/3,Renov.,50  €/dienā,56.975238,24.172448948187675
Mežciems,Biķernieku 160,3,78,3/5,Jaun.,"156,000  €",56.9599931,24.2286894
Bieriņi,Raudas 9,2,38,1/2,P. kara,120  €/mēn.,56.92753635,24.057594321913022
Teika,Brīvības 215,2,39,2/3,Renov.,500  €/mēn.,56.975238,24.172448948187675
Vecrīga,Tirgoņu 17,2,54,3/5,Renov.,"150,000  €",56.9484815,24.1061513
Iļģuciems,Garā 28,3,65,3/5,LT proj.,"51,900  €",,
centrs,Stabu 89,1,35,3/5,Staļina,30  €/dienā,56.9599606,24.1209763
Šampēteris-Pleskodāle,Zalves 46,1,29,1/4,-,maiņai,56.9390488,24.036876000000007
Zolitūde,Bieziņa 10,3,75,10/5,119.,"69,300  €",56.94515505,24.02329050731449
Āgenskalns,Mārupes 13,2,45,1/2,Renov.,450  €/mēn.,56.9331893,24.071089435
Imanta,Kurzemes pr. 90,3,60,1/5,LT proj.,"41,000  €",,
Bolderāja,Lielupes 68,2,38,5/5,LT proj.,"29,000  €",57.03099155,24.057394668995837
Dārzciems,Nīcgales 47,1,34,3/5,103.,290  €/mēn.,56.9461178,24.173099986747744
Vecmīlgrāvis,Meldru 2,3,56,4/5,Hrušč.,"40,800  €",57.0275012,24.1036538
Purvciems,Vējavas 9c,2,75,1/4,Jaun.,"85,000  €",56.958955,24.17026729355616
Vecrīga,Kalēju 14,2,87,4/5,P. kara,750  €/mēn.,56.9483908,24.11070826217105
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,Renov.,"205,040  €",51.77014725,-1.2649910410071945
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,Renov.,"205,040  €",51.77014725,-1.2649910410071945
centrs,Brīvības 95,2,78,7/7,Renov.,"205,040  €",56.96131475,24.131717044166592
