,district,address,room_count,area,floors,house_type,price,latitude,longitude,quadrant,price_psqm
0,Iļģuciems,Palangas 7,3,66.0,5/5,LT proj.,60500.0,56.97087085,24.053864891592003,1156.0,916.6666666666666
1,Purvciems,Varavīksnes g. 14,1,31.0,3/9,602.,40000.0,56.9521953,24.2048373,934.0,1290.3225806451612
2,Pļavnieki,Jasmuižas 6,2,50.0,4/9,602.,51800.0,56.936898150000005,24.20926459415137,746.0,1036.0
3,Purvciems,Burtnieku 35,1,13.0,3/4,Hrušč.,18500.0,56.9664204,24.1816747,1118.0,1423.076923076923
4,Zolitūde,Ruses 20,2,59.0,5/6,119.,64500.0,56.94647355,24.00580932807084,831.0,1093.2203389830509
5,Teika,Ropažu 35,3,78.0,2/3,P. kara,107000.0,56.9789467,24.17601354540493,1243.0,1371.7948717948718
6,Ķengarags,Prūšu 21/2,1,12.0,4/4,M. ģim.,17000.0,56.908522,24.1969884,365.0,1416.6666666666667
7,Čiekurkalns,Rusova 24,1,43.0,1/5,M. ģim.,36000.0,56.987545350000005,24.170802940161952,1368.0,837.2093023255813
8,Vecmīlgrāvis,Vijolīšu 6,1,43.0,3/5,M. ģim.,45000.0,57.0350429,24.0944356,1920.0,1046.5116279069769
9,Teika,Brīvības 239,1,27.0,5/5,Specpr.,48000.0,56.97720845,24.178724282406527,1244.0,1777.7777777777778
10,Ķengarags,Ikšķiles 4,3,62.0,5/5,LT proj.,67900.0,56.90080385,24.20703229999999,304.0,1095.1612903225807
11,Vecmīlgrāvis,Atlantijas 8,1,38.0,4/5,Hrušč.,36000.0,57.03824655,24.08781580862039,1982.0,947.3684210526316
12,Purvciems,Ieriķu 58,1,36.0,6/9,Specpr.,46999.0,56.9655739,24.18301731808966,1119.0,1305.5277777777778
13,Teika,Ieriķu 58,1,36.0,5/6,Specpr.,46999.0,56.9656754,24.1716043,1116.0,1305.5277777777778
14,Sarkandaugava,Gaujienas 3a,1,36.0,2/2,Specpr.,23500.0,57.0071171,24.12327825,1611.0,652.7777777777778
15,Āgenskalns,Dreiliņu 18,1,30.0,4/5,Hrušč.,44000.0,56.9413267,24.0606631,779.0,1466.6666666666667
16,Dārzciems,Sesku 7,1,42.0,5/5,M. ģim.,28500.0,56.94505225,24.17412735,802.0,678.5714285714286
17,Purvciems,Kastrānes 14,2,54.0,2/5,Specpr.,80000.0,56.9659974,24.1766569,1117.0,1481.4814814814815
18,Imanta,Anniņmuižas 38,3,82.0,4/18,Jaun.,165000.0,56.96111815,24.018227955704056,1023.0,2012.1951219512196
19,Mežciems,Biķernieku 160,3,78.0,3/5,Jaun.,156000.0,56.9599931,24.2286894,1002.0,2000.0
20,Vecrīga,Tirgoņu 17,2,54.0,3/5,Renov.,150000.0,56.9484815,24.1061513,851.0,2777.777777777778
21,Zolitūde,Bieziņa 10,3,75.0,10/5,119.,69300.0,56.94515505,24.02329050731449,772.0,924.0
22,Bolderāja,Lielupes 68,2,38.0,5/5,LT proj.,29000.0,57.03099155,24.05739466899584,1913.0,763.1578947368421
23,Vecmīlgrāvis,Meldru 2,3,56.0,4/5,Hrušč.,40800.0,57.0275012,24.1036538,1859.0,728.5714285714286
24,Purvciems,Vējavas 9c,2,75.0,1/4,Jaun.,85000.0,56.958955,24.17026729355616,990.0,1133.3333333333333
25,centrs,Brīvības 95,2,78.0,7/7,Renov.,205040.0,56.96131475,24.131717044166592,1045.0,2628.7179487179487
26,Purvciems,Deglava 59,3,77.0,2/6,119.,83500.0,56.9518031,24.165962,926.0,1084.4155844155844
27,Purvciems,Zvaigznāja g. 14,2,50.0,3/5,LT proj.,56500.0,56.9528067,24.2062064,934.0,1130.0
28,Mežaparks,Ezermalas 4/2,2,51.0,5/5,Specpr.,58000.0,56.9984019,24.1707634,1494.0,1137.2549019607843
29,Zolitūde,Gramzdas 17,3,75.0,5/9,119.,68500.0,56.944908600000005,24.00898897570804,769.0,913.3333333333334
30,Ķengarags,Višķu 19,1,30.0,4/5,LT proj.,32000.0,56.90032605,24.214265399999995,243.0,1066.6666666666667
31,Ķengarags,Aviācijas 23 k1,1,31.0,6/12,Specpr.,36950.0,56.9039349,24.20031498142857,303.0,1191.9354838709678
32,Ķengarags,Salaspils 12/5,4,62.0,4/5,LT proj.,90000.0,56.9221101,24.1811252,551.0,1451.6129032258063
33,Imanta,Anniņmuižas 38 k-3,2,57.0,6/18,Jaun.,130000.0,56.9608756,24.015701800228435,1022.0,2280.7017543859647
34,centrs,Marijas 1,2,80.0,3/6,P. kara,132000.0,56.948011,24.1193558,854.0,1650.0
35,centrs,Marijas 1,6,125.0,4/6,P. kara,199000.0,56.948011,24.1193558,854.0,1592.0
36,centrs,Brīvības 159,2,46.0,3/6,P. kara,55000.0,56.9537963,24.117328,917.0,1195.6521739130435
37,Šampēteris-Pleskodāle,Irlavas 26,1,35.0,2/5,103.,39998.0,56.94004775,24.03471459886179,711.0,1142.8
38,Āgenskalns,Melnsila 28,3,58.0,1/5,Hrušč.,111000.0,56.9463639,24.064095401489567,843.0,1913.7931034482758
39,Jugla,Ciemupes 1,2,50.0,1/9,Jaun.,76000.0,56.9881961,24.246946592724093,1383.0,1520.0
40,centrs,Baznīcas 7,4,166.0,6/6,Renov.,240000.0,56.9557916,24.117568,980.0,1445.7831325301204
41,Imanta,Anniņmuižas 92,2,50.0,3/9,602.,64500.0,56.9573992,24.0237329,961.0,1290.0
42,Pļavnieki,Saharova 27,3,74.0,13/16,Specpr.,93000.0,56.9413857,24.2040933,808.0,1256.7567567567567
43,Mežciems,Eizenšteina 35,4,78.0,6/9,602.,85000.0,56.9678443,24.234022900000006,1129.0,1089.7435897435898
44,centrs,Tomsona 2,4,123.0,3/6,P. kara,198500.0,56.96346405,24.12405597786933,1044.0,1613.821138211382
